,Year,Week,H/A,Opp,Result,Score,Rec,Tgt,Re-Yds,Re-Y/R,Re-LG,Re-TD,Ru-Att,Ru-Yds,Yu-Y/A,Ru-Lg,Ru-TD,Fum,FumL
0,2019,1,Home,PIT,W,3-33,1,2,3,3,3,0,0,0,0,0,0,0,0
1,2019,2,Away,MIA,W,43-0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2019,3,Home,NYJ,W,14-30,1,1,41,41,41,0,0,0,0,0,0,0,0
3,2019,4,Away,BUF,W,16-10,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2019,5,Away,WAS,W,33-7,2,2,39,19.5,29,1,0,0,0,0,0,0,0
5,2019,6,Home,NYG,W,14-35,2,4,31,15.5,20,0,0,0,0,0,0,0,0
6,2019,7,Away,NYJ,W,33-0,-,-,-,-,-,-,-,-,-,-,-,-,-
7,2019,8,Home,CLE,W,13-27,-,-,-,-,-,-,-,-,-,-,-,-,-
8,2019,9,Away,BAL,L,20-37,-,-,-,-,-,-,-,-,-,-,-,-,-
9,2019,11,Away,PHI,W,17-10,-,-,-,-,-,-,-,-,-,-,-,-,-
10,2019,12,Home,DAL,W,9-13,-,-,-,-,-,-,-,-,-,-,-,-,-
11,2019,13,Away,HOU,L,22-28,-,-,-,-,-,-,-,-,-,-,-,-,-
12,2019,14,Home,KC,L,23-16,-,-,-,-,-,-,-,-,-,-,-,-,-
13,2019,15,Away,CIN,W,34-13,-,-,-,-,-,-,-,-,-,-,-,-,-
14,2019,16,Home,BUF,W,17-24,-,-,-,-,-,-,-,-,-,-,-,-,-
15,2019,17,Home,MIA,L,27-24,-,-,-,-,-,-,-,-,-,-,-,-,-
