,Year,Week,H/A,Opp,Result,Score,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Rec,Tgt,Re-Yds,Re-Y/R,Re-Lg,Re-TD,Fum,FumL
0,2019,1,Home,LAR,L,30-27,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2019,2,Home,TB,L,20-14,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2019,3,Away,ARI,W,38-20,2,5,2.5,4,0,0,0,0,0,0,0,0,0
3,2019,4,Away,HOU,W,16-10,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2019,5,Home,JAC,W,27-34,5,80,16,59,1,0,1,0,0,0,0,0,0
5,2019,6,Away,TB,W,37-26,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2019,8,Away,SF,L,13-51,1,4,4,4,0,1,3,3,3,3,0,0,0
7,2019,9,Home,TEN,W,20-30,3,6,2,4,0,1,1,7,7,7,0,0,0
8,2019,10,Away,GB,L,16-24,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2019,11,Home,ATL,L,29-3,0,0,0,0,0,2,3,8,4,6,0,0,0
10,2019,12,Away,NO,L,31-34,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2019,13,Home,WAS,L,29-21,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2019,14,Away,ATL,L,20-40,1,6,6,6,0,0,0,0,0,0,0,0,0
13,2019,15,Home,SEA,L,30-24,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2019,16,Away,IND,L,6-38,2,12,6,7,0,0,0,0,0,0,0,0,0
15,2019,17,Home,NO,L,42-10,2,3,1.5,2,0,2,2,39,19.5,32,0,0,0
