,Year,Week,H/A,Opp,Result,Score,Rec,Tgt,Re-Yds,Re-Y/R,Re-LG,Re-TD,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Fum,FumL
0,2018,1,Home,SF,W,16-24,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2018,2,Away,GB,T,29-29,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2018,3,Home,BUF,L,27-6,-,-,-,-,-,-,-,-,-,-,-,-,-
3,2018,4,Away,LAR,L,31-38,-,-,-,-,-,-,-,-,-,-,-,-,-
4,2018,5,Away,PHI,W,23-21,-,-,-,-,-,-,-,-,-,-,-,-,-
5,2018,6,Home,ARI,W,17-27,-,-,-,-,-,-,-,-,-,-,-,-,-
6,2018,7,Away,NYJ,W,37-17,-,-,-,-,-,-,-,-,-,-,-,-,-
7,2018,8,Home,NO,L,30-20,-,-,-,-,-,-,-,-,-,-,-,-,-
8,2018,9,Home,DET,W,9-24,3,3,21,7,13,0,0,0,0,0,0,0,0
9,2018,11,Away,CHI,L,20-25,1,1,18,18,18,0,0,0,0,0,0,0,0
10,2018,12,Home,GB,W,17-24,-,-,-,-,-,-,-,-,-,-,-,-,-
11,2018,13,Away,NE,L,10-24,-,-,-,-,-,-,-,-,-,-,-,-,-
12,2018,14,Away,SEA,L,7-21,-,-,-,-,-,-,-,-,-,-,-,-,-
13,2018,15,Home,MIA,W,17-41,-,-,-,-,-,-,-,-,-,-,-,-,-
14,2018,16,Away,DET,W,27-9,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2018,17,Home,CHI,L,24-10,-,-,-,-,-,-,-,-,-,-,-,-,-
0,2019,1,Home,ATL,W,12-28,1,1,9,9,9,0,0,0,0,0,0,0,0
1,2019,2,Away,GB,L,16-21,1,1,61,61,61,0,0,0,0,0,0,2,0
2,2019,3,Home,OAK,W,14-34,0,0,0,0,0,0,0,0,0,0,0,1,0
3,2019,4,Away,CHI,L,6-16,-,-,-,-,-,-,-,-,-,-,-,-,-
4,2019,5,Away,NYG,W,28-10,-,-,-,-,-,-,-,-,-,-,-,-,-
5,2019,6,Home,PHI,W,20-38,-,-,-,-,-,-,-,-,-,-,-,-,-
6,2019,7,Away,DET,W,42-30,-,-,-,-,-,-,-,-,-,-,-,-,-
7,2019,8,Home,WAS,W,9-19,-,-,-,-,-,-,-,-,-,-,-,-,-
8,2019,9,Away,KC,L,23-26,-,-,-,-,-,-,-,-,-,-,-,-,-
9,2019,10,Away,DAL,W,28-24,-,-,-,-,-,-,-,-,-,-,-,-,-
10,2019,11,Home,DEN,W,23-27,-,-,-,-,-,-,-,-,-,-,-,-,-
11,2019,13,Away,SEA,L,30-37,-,-,-,-,-,-,-,-,-,-,-,-,-
12,2019,14,Home,DET,W,7-20,-,-,-,-,-,-,-,-,-,-,-,-,-
13,2019,15,Away,LAC,W,39-10,-,-,-,-,-,-,-,-,-,-,-,-,-
14,2019,16,Home,GB,L,23-10,-,-,-,-,-,-,-,-,-,-,-,-,-
15,2019,17,Home,CHI,L,21-19,-,-,-,-,-,-,-,-,-,-,-,-,-
